id,title,price,userRate,recommendationCount,description,"کیفیت ساخت","سهولت در استفاده","امکانات و قابلیت ها","ارزش خرید به نسبت قیمت"
254402,"iGamer Steep DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌ گیمر طرح Steep","9,000",,0,
227969,"هدست سونی مدل Platinum
Sony Platinum Headset","699,000",۵,0,,,,,,
224968,"iGamer No Mans Sky DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌ گیمر طرح No Mans Sky","9,000",,0,
224964,"iGamer Titan fall 2 DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌ گیمر طرح Titan fall 2","9,000",,0,
219023,"Microsoft Xbox One S - 500GB Game Console
کنسول بازي مايکروسافت مدل Xbox One S ظرفيت 500 گيگابايت","1,187,000",۳.۷,0,,3.6,3.6,3.7,3.7,3.7
213343,"IGamer Music Is My Life Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Music Is My Life","39,000",۵,0,,,,,
213342,"IGamer Diamond Play Station 4 Slim Cover
برچسب اسلیم پلی استیشن 4 آی گیمر طرح Diamond","39,000",,0,,,,,
213339,"IGamer Clash Of Clans Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Clash Of Clans","39,000",,0,,,,,
213338,"IGamer Wood Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Wood","39,000",,0,,,,,
213337,"IGamer Winter is Coming Play Station 4 Slim Cover
برچسب اسلیم پلی استیشن 4 آی گیمر طرح Winter is Coming","39,000",,0,,,,,
213336,"IGamer Leather Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Leather","39,000",۵,0,,,,,
213335,"IGamer Military 2 Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Military 2","39,000",,0,,,,,
213334,"IGamer Military Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Military","39,000",۳.۵,0,,4,4,3.5,3
213330,"iGamer RealMadrid DualShock 4 Lightbar Sticker
برچسب دوال شاک 4 آی‌ گیمر طرح RealMadrid","9,000",,0,,,,,
212520,"IGamer The Last Of Us Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح The Last Of Us","39,000",,0,,,,,
212515,"IGamer Call Of Duty Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Call Of Duty","39,000",۵,0,,,,,
212514,"IGamer Tomb Raider Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Tomb Raider","39,000",,0,,,,,
212512,"IGamer BatMan Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح BatMan","39,000",۲.۶,0,,3,3,3,2
212510,"IGamer UnCharted 4 Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح UnCharted 4","39,000",,0,,,,,
212509,"IGamer Battlefield 1 Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Battlefield 1","39,000",,0,,,,,
212508,"IGamer Worlds Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Worlds","39,000",,0,,,,,
212507,"IGamer Assassins Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Assassins","39,000",۵,0,,,,,
212506,"IGamer FIFA 17 Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح FIFA 17","39,000",۵,0,,,,,
212505,"IGamer UnCharted Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح UnCharted","39,000",,0,,,,,
212504,"IGamer Sniper Play Station 4 Slim Cover
برچسب پلی استیشن 4 اسلیم آی گیمر طرح Sniper","39,000",,0,,,,,
212503,"برچسب پلی استیشن 4 اسلیم آی گیمر طرح Read Dead 2
IGamer Red Dead 2 Play Station 4 Slim Cover","39,000",,0,,,,,
212502,"برچسب پلی استیشن 4 اسلیم آی گیمر طرح For Honor
IGamer For Honor Play Station 4 Slim Cover","39,000",۴.۴,0,,,4,,4
212501,"برچسب پلی استیشن 4 اسلیم آی گیمر طرح Horizon
IGamer Horizon Play Station 4 Slim Cover","39,000",,0,,,,,
212500,"برچسب پلی استیشن 4 اسلیم آی گیمر طرح Resident Evil
IGamer Resident Evil Play Station 4 Slim Cover","39,000",,0,,,,,
211861,"بازي Little Big Planet 3 مخصوص PS4
PS4 Little Big Planet 3 Game","104,000",۲.۹,0,,2,2.8,3.8,2.8,4,2.8
