positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
"نداشتن دو ستاره استقلال",ندارد,"خیلی خوب طراحی شده ستاره هاش هم عالیه خارجی ها هم فهمیدن یعنی",3,1,5,5,5,5
"همه چي",هيچي,"فوق العاده است",5,1,5,5,5,5
