positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
,,"خیلی وقت بود دنبال هم چین چیزی بودم کیفیت خوبی داره و خیلی خوب انگشت بهش گیر میکنه و خیلی خوب هم چفت میشه ، یکی از دسته های ایکس باکسم یک کمی از رویه ی یکی از شاسیاش رفته بود که یکم چسب آکواریوم پر کردم و این رو روش جا زدم گذاشتم دو روز موند که الان خیلی خوب شده و دسته مثل روز اولش خوش دست شده",0,0,5,5,5,5
"برند عشقم يوونتوس",ندارد,"خیلی دنبالش بودم مرسی دیجیکالا",4,0,5,5,5,5
"شيک و زيبا
نصب راحت
جلوگيري از آسيب ديدگي و سايش سطح آنالوگ بر اثر مصرف",ندارد,,6,0,5,5,5,5
