positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
,,"واقعا محشره و حرف نداره اگه طرفدار انچارتد هستید این کاور رو پیشنهاد میکنم",0,0,5,5,5,5
,,"کنسول رو خیلی خوشگل میکنه خوبه درضمن از خط و خش افتادن روی دستگاه هم جلوگیری میکنه",1,0,5,3,5,5
