positivePoints,negativePoints,commentText,like,dislike,"کيفيت عملکرد",ارگونومي,"کيفيت ساخت","امکانات و قابليت ها","ارزش در برابر قيمت"
"بي صدا بودن
اجراي روان
کيفيت بالاي دسته",هيچي,"من از یه جای دیگه خریدم به شما هم پیشنهاد می کنم بخرید",0,0,5,5,5,5,5
"ارزانتر و به صرفه تره",,"در صورتی این یک بازی فیفا هم داره خود Ps4 یک ترابا یت بیرون گرونتر",1,0,3,3,3,3,3
"صداي کم، طراحي زيبا، داشتن fifa 17","کيفيت ساخت پايين نسبت به نسخه قبلي","به نظر من ضرر نمی کنید اگه بخرید",40,10,4,5,3,4,4
