positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
,,"اصلا چسبندگى نداره کنده میشه",0,9,0,0,0,0
"زيبايي رنگ دلپذير و آرامش بخش",,"در طراحی لوگو باشگاه استقلال تهران دقت مناسبی به کار گرفته نشده است. دو ستاره روی لوگو بعنوان دوبار قهرمانی در آسیا و پرافتخارترین تیم فوتبال باشگاهی در ایران در طراحی این کاور به چشم نمی خورد.",36,6,3,3,3,3
