positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
"سر نميخورد","به خوبي روي دکمه ها مَچ نميشود","زیاد جالب نیست چون به خوبی روی دکمه های دسته نمینشینه",1,0,3,3,3,3
,ندارد,"من خریدم خیلی عالی است از دیجی ممنونم",1,1,5,2,5,5
"جنس عالي
محکم بودن
سر نخوردن",ندارد,"من تهیه کردم خیلی عالی است و تو دست سر نمی خوره اگه نگیری از دستت رفته",1,1,5,2,5,5
,,"جنسش خیلی خوبه قشنگ هم هست
ولی خداییش زردش رو موجود کنین",1,0,5,5,5,5
