positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
"عرق گير
کششي
ضربه گير",نداره,"عالیه و برای دستگیره لازمه من خودم دوتا گرفتم.",4,0,4,4,5,5
,,"جنس خوبه و زیاد دستو عرقی نمیکنه
اما یکم در بخش اسپیکر دسته گشاده که بد میره رو اعصاب",4,0,5,4,5,5
"ضد تعريق
تقريبا ضد ضربه",,"واقعا عالیه در خریدنش شک نکنین من چند بار از دستم افتاد هیچی نشد",5,0,5,5,4,5
