positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
,,"اگه دسگاهتون از مدل هایی باشه ک مثل دسته های پی اس فور مشخصات داخلش کاملا معلوم باشه خیلی شیکش میکنه واقعا ممنون خیلی چیزه توپی بود",2,0,4,4,5,5
,,"خیلی باحال به نظر میرسه",5,1,5,5,5,5
,"نداره
گشتم نبود نگرد نيست","خیلی باحاله زیباست",3,2,3,3,3,3
خلاقيت,,"فکر جالبیه",3,1,3,3,3,3
