positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
,,"مگه میشه جنسی که نام پرطرفدارترین تیم اسیارو یدک میکشه بد باشه",3,2,5,4,4,5
"بسيار زيبا","کمي چسبش ضعيف است","اگر پرسپولیسی هستید تو خریدش شک نکنید....",6,2,4,3,5,5
