id,categoryTitle
225077,Laptop-Ultrabook
225399,Laptop-Ultrabook
225420,Laptop-Ultrabook
225425,Laptop-Ultrabook
225431,Laptop-Ultrabook
225520,Laptop-Ultrabook
225568,Laptop-Ultrabook
226017,Mobile-Phone
226709,Laptop-Ultrabook
226742,Laptop-Ultrabook
226909,Laptop-Ultrabook
227029,Laptop-Ultrabook
