aspect_id,sentences_ids,,,,
1,412,927,450,,
2,616,165,241,1246,581
3,69,225,173,,
4,268,900,143,,
5,,,,,
6,17,54,1259,,
7,409,1183,1244,,
8,35,645,421,828,
15,99,1056,564,721,
