positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"خیلی راضی ام",4,0,3,3,3,3,3
,,"برند گوپرو بهترین دوربین های اکشن رو تولید می کنه و قابل مقایسه با نمونه های دیگه مثل شیائومی و غیره نیست. در اصل شرکتهای دیگه پیرو این شرکت اند. این رو برای افرادی گفتم که هنوز آشنایی چندانی با این دوربین ها ندارند و قصد خرید بهترین رو دارند.
ماه پیش من گو پرو 5 بلک رو از دوبی خریدم که کلی امکانات مثل صفحه تاچ ژیروسکوپ مود لاینر و تا 250 فریم و خیلی چیزهای دیگه اضافه شده. ارزش صبر کردن داره",17,3,3,3,3,3,3
,,"دوستانی که میخوان این محصول رو خریداری کنند
یکم صبر کنیدچند وقت دیگه HERO5 BLACK میاد
پس فعلا دست نگه دارین",10,4,5,5,5,4,5
,,"دوستان سلام لطفا اگه کسی میتونه راهنماییم کنه ممنون میشم من دوربینم شارژ نمیشه یه باطری براش خریدم ولی بازم شارژ نمیشه لطفا راهنماییم کنین مرسی",3,0,3,3,3,3,3
,,"واقعا تعحب داره حرفهای بعضی دوستان
این دوربین برای کارکرد خودش واقعا عالیه من اولین سری که 4بلک اومد ایران گرفتمش
خیلی راضی ام
تنها ایرادش باطریه اونم با خرید باطری اضافه یا باطری بک پک حل میشه
مگه قراره چقدر فیلم بگیریم !؟ من یه باطری اضافه خریدم و دیگه مشکلی ندارم باهاش
فوق العاده هستش هم تو غواصی هم تو دریفت هم آفرود هم بانجی جامپینگ هم تو تفریحات مختلف دریایی و ... ازش استفاده کردم . عالیه
البته بهتره بجز پک دوربین برای لوازم جانبیش هم هزینه کنید
هر چقدر پول بدی آش میخوری",18,2,5,5,5,5,5
,,"به نظر من کیفیت عکاسی پایینی داره هرچند زاویه ای که عکس میگیره یه چیز جدید و باحاله",6,23,3,3,3,3,3
,,"در کل خوبه اما فکرمی کنم با این بودجه بهتره سراغ اکشن کم شیائومی بریم چون با قیمت خیلی کمتر امکانات بسیار مشابه و خوبی رو تحویل میده / موافقی لایک",15,66,4,4,3,4,2
,,"دیجی جااااااان شگفت انگیز کن درجااا بخریم این کالا رو ... دستت درد نکنه",25,4,5,5,5,5,5
,,"لطفا موجود کنید",15,2,5,3,4,4,4
,,"از تیم خوب دیجی کالا می خوام که هرچه زودتر موجود کنن چون واقعاً قصد خریدش رو دارم.",9,3,4,4,4,4,4
,,"چون دوست دارم این دوربین رو از فروشگاه شما تهیه کنم.",6,2,4,4,4,4,4
,,"از تیم خوب دیجی کالا تقاضای موجود کردن این دوربین رو دارم.امیدوارم هرچه زودتر موجود بشه.",6,4,4,4,4,4,4
,,"لطفا موجود کنید. مرسى",5,2,3,3,3,3,3
"کيفيت فوق العاده تصويربرداري
عکسهاي با کيفيت
حالتهاي مختلف فيلمبرداري و عکاسي
عکاسي عالي در شب
لوازم جانبي متنوع","قيمت زياد لوازم جانبي","من حدود بیست روزه که این دوربین و دارم اما تقریبا از تمام حالتهای فیلمبرداری و عکاسیش بطور کامل استفاده کردم و میتونم بگم واقعا همه چیز این دوربین فوق العاده است.البته همونطور که بقیه هم گفتن این دوربین بدرد عکاسی خونوادگی و مهمونی نمیخوره و برای کارهای اکشن و خاص ساخته شده.باتوجه به ابعاد و وزن و لوازم جانبی که داره میتونه از زوایای خیلی خاصی فیلم یا عکس بگیره.یه نرم افزار خیلی خوب هم برای کامپیوتر داره که میشه فیلماشو باهاش ادیت کرد.لنز super wide هم که فوق العاده است و فضای خیلی زیادی رو در بر میگیره.بهرحال من این دوربینو به همه کسایی که عاشق عکاسی و فیلمبرداری از طبیعتن پیشنهاد میکنم و مطمئن باشید ازش لذت میبرید.از لحاظ کیفیت تصویربرداری و ساخت هم که حرفی نمیمونه.کیفیت فیلمبرداری فوق لعاده بالا و کیفیت ساخت و مقاومت دستگاه هم خیلی بالاست تو همین چند روز چندین بار از ارتفاع سه متری و ... افتاده و خش هم بر نداشته.
ممنون از دیجی کالا",16,1,5,5,5,5,5
