positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"محسوس نيست",,"با این رنج قیمت پیشنهاد میکنم DSLR بخرید واقعا این ارزش خرید نداره",3,14,2,2,1,1,0
,,"این دوربین در رده بندی های انجام شده، رتبه خوبی کسب کرده و دارای کیفیت عکس خیلی خوبی هست. یک دوربین کامپکت پیشرفته با زوم بالا. معمولاً دوربین های کامپکت پیشرفته زوم کمی دارند. همچنین ظاهر دوربین خیلی خوب طراحی شده",8,2,5,4,5,4,4
[],[],"سلام
این دوربین جی پی اس داره، تو سایت سونی مشخصات کامل گذاشته. ضمنا از شرکت سونی گوشیهای جدید بذارید",6,0,3,3,3,3,3
"امکاناتش عالي وقيمتش بالا","فلش خيلي حساس","دوربین عالی",9,1,3,3,3,3,3
