positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"مگه داریم مگه میشه .... با این همه امکانات و این وضع بازار یه همچین دوربینی با این همه مشخصات مفته. من واقعا از این دوربین راضیم و بهتون پیشنهاد میکنم",1,0,5,5,5,5,5
,,"کیفت عکس و فیلمش خوبه و همچنین فکر نمیکردم داخل شب ام اینقدر خوب باشه ولی استفاده از دکمهاش یکم سخته",6,1,4,2,2,4,4
