positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"دوست عزیز تو نوار بالا ستینگ رو باز کنید و نمودار قیمت با چند نوع گارانتی رو در طول زمان مقایسه کنید.اتفاقا دیجی تو این زمینه عالیه",0,0,3,3,3,3,3
"فوکوس فوق العاده
عدم نويز در ايزوهاي نسبتا بالا
سرعت عالي شاتر
بسيار خوشدست
تصاوير بسيار شارپ",ندارد,"در کل هر کی پولشو داره نوش جونش، دوربین کاملی هست",10,1,5,5,5,4,4
,,"من نمیدونم دیجی جان چرا وقتی یه چی ناموجود میشه ، قیمتشو برمیداره!
حالا شاید یکی بخواد مزنه دستش بیاد!اقلا نمودار رو بر ندار اَخوی!",48,0,0,0,0,0,0
