positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"بلوتوث وNFC",,"دوستان لطفا دقت کنید من در بعضی نظرات دیدم که دوستان نوشتن wifi ندارد اما در فیلم ها و عکس ها که در نقد و بررسی این دوربین بوده، تکنولوژیwifi بود، در همین سایت خود دیجی کالا در بخش نقد و بررسی این دوربین دقت کنید در دو عکس اسم wifi را خواهید دید اولی در بخش بدنه و دومی در بخش چرا D5600 خواهید دید.
باتشکر",2,1,5,5,5,5,5
"lcd چرخشي
صفحه لمسي
بلوتوث و nfc","نداشتن wifi
کيت لنز 55-18","به نظر من با این قیمت خرید d7100 با کیت لنز 140-18 کاربردی و مقرون به صرفه تر خواهد بود",21,6,4,3,3,3,0
"کيفيت عالي تصاوير","پيشرفت بسيار کم نسبت به D5500","مطمئنا مثل D5500 دوربین خیلی خوبیه ولی تنها فرقش اضافه شدن بلوتوثه....
به نظر من D5500 به علاوه لنز 35 میلی متری سری g خیلی ارزش بیشتری داره.",18,1,4,4,5,5,2
