positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"صفحه نمايش جدا","قيمت بالا
تيره شدن تصوير در شوک شديد مثل استفاده در دانهيل و اسکي","نقطه قوتی توی سونی وجود نداره تو تمام محصولات جدیدش همینطوریه فقط قیمتش بالا تو مقایسه هایی که هر جای دنیا انجام میدن با گو پرو اصلا قابل مقایسه نیست هرچیزی جایگاه خودشو داره تو ضربه های شدید هم‌که کلا تیرگی به وجود میاره و از همه بدتر مموری m2 که چندین ساله تو محصولاتش استفاده نمیشد الان مجددا به حساب انحصارا اومده همچین حرکتی بزنه که واقعا جالب نبود از خریدنش پشیمون میشید و نمیتونین بفروشینش اشتباهی که بنده کردم‌شما انجام ندید با تشکر از دیجی کالا که نقد مصرف کننده رو هم برای عموم میزاره",5,8,2,1,0,2,1
هرچي,هرچي,"این دوربین بنظر خیلی عالیه و خوبیش سبک بودن و قابل حمل بودنشه و همینطور ریموت صفحه نمایش دارش و قاب ضد آب و پایه هایی که میشه باهاشون دوربینو تقریبا همه جا نصب کرد و اینکه برای عکاسی هم بنظر مناسبه ولی با همه این اوصاف باید استفاده بشه تا ببینیم چجور جواب میده
من که خیلی وقته تو فکر خرید دوربین فیلمبرداری هستم فکر میکنم این دوربین چیز خوبی باشه برام
اگر کسی این دوربینو داره لطفا اطلاعات بده در موردش تا با اطمینان بخرم",7,6,3,3,3,3,3
