positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"حالت عکس برداري از کودکان","نسبت به قيمت نقطه ضعفي ندارد.","این حالت عکس برداری به لطف نمایشگر جلویی دوربین است که یک کارتون پخش میکنه تا کودکان محو دوربین شوند!
در خرید اون شک نکنید.",0,0,5,5,5,5,5
"عکاسي سلفي و اشتراک گذاري باواي فاي","نداردنسبت به قبمت","لطفا رنگ های دیگرش مثل سورمه ای رو موجود کنید قصدخرید دارم",4,0,3,3,3,3,3
"اندازه کوچک
داشتن دو LCD
کيفيت خيلي خوب در نور زياد",,"من این دوربین رو در تخفیف ویژه گرفتم. دوربین دم دستی و خوبی هست. انتظار عکاسی حرفه ای ازش نداشته باشین. برای کسایی مثل من که خیلی عکاسی بلد نیستن ولی دوس دارن زیاد عکس بگیرن و همیشه همراهشون باشه خیلی خوبه.",5,0,3,4,5,3,4
,,"این دوربین از جمله دوربین های فوق العاده و ضمنا کوچک میباشد
من این رو دوساله ک دارمش
فقط یبار از دستم زمین خورد ک زیرش ترک برداشت
نمایشگر جلویی امکان عکس سلفی رو میده،همچنین برنامه کودک برا بچه ها هم پخش میکنه
نرم افزار عالی ای هم داره،داخلش افکت های واقعا زیبا میتونید بدید
وای فای هم ک داره امکان پست عکس ها در فیسبوک بدون فیلتر شکن هم میده
میتونین با وای فای عکس ها و فیلم هاتون رو ب اشتراک بذارید وب یا ایمیلشو کنین",11,1,5,3,5,5,5
"از هر لحاظ براي سفر بسيار مناسب و عالي است","هيچي براي گفتن ندارم","خرید با قیمت مناسب",9,1,4,4,4,4,4
"زيبا و خوش دست
سبک و کم حجم
مناسب براي سفر و گردش
کاملا مقرون به صرفه",,"زود به دستم رسید، قبلا سونی داشتم ولی این واقعا یک دوربین خوبه، با توجه به قیمت، کارایی خوبی داره، امکانات خوب، باتری بهتر، کیفیت عکس ها خیلی راضی کننده است
از انتخاب و اعتماد به دیجی کالا راضی هستم
با توجه به این مبلغ، واقعا کالای مناسبی است از هر جهت
خیلی سبک وخوش دست است و وبرای سفر و گردش خوبه
نمایشگر جلو برای عکس سلفی یا دسته جمعی عالیه",9,1,3,4,5,4,5
,,"لطفا موجودش کنید",4,4,3,3,3,3,3
,,"خواهش می کنم موجودش کنید.",7,4,0,0,0,0,0
