positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"زوم خوب،کيفيت عکس خوب بدون فلش ،کيفيت عالي عکس با فلش،امکانات زياده،آپشنهاي فيلمبرداري و عکسبرداري مناسب",,"واقعا عالیه البته من از دیجی نگرفتم چون گرون میداد
در کل یه دوربین اماتور حرفه ایه من که راضیم",5,3,3,5,5,5,4
نداره,بسيار,"کیفیت عکس پایین واسه فیلم برداری هیچ تنطیمی نداره تو روشنایی روز بد نیست اما زیر نو افکن خیلی ضعیفه از خریدنش پشیمونم",2,7,1,1,1,2,1
,,"سلام لطفا زودترموجودش کنید",7,1,3,3,3,3,3
,,"سلام پس کی موجود میشه؟؟؟",5,4,3,3,3,3,3
