positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"خیلی خوبه حتما پیشنهاد میکنم رنگ آبیش فوق العادس",3,0,5,5,5,5,5
,,"عاااالیه. از بقیه ی دوربین های چاپ سریع قابلیت های بهتر و بیشتری داره",12,1,5,5,5,5,5
"فلاش پرقدرت",,"این دوربین خوشگلو هدیه گرفتم و واقعا ازش راضی ام.کیفیت عکس هاش فوق العادست",13,3,5,5,5,5,5
,,"امکان گرفتن سلفی بسیار با کیفیت رنگه آبیش فوق العاده هست...",8,0,5,5,5,5,5
