positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"ايزو غير قابل باور
عکاسي پياپي 17 فريم",,"ایزوی این دستگاه غیر قابل باوره و تاریکی مطلق مثله اوایل غروبه !!
بنده 5 سال تو کار دوربینم و به شخصه روی دست این دستگاه ندیدم !! 4k با نرخ 60 فریمممم !!",2,0,5,5,5,5,5
"همه چيزيش عاليه",,"من این دوربین رو با لنز Canon EF 70-200 F/4 L USM IS گرفتم خیلی عالی کار میکنه و تا الات 60000 بار شاترم زده یک بار هم نشده من از کفیت عکس ناراضی بشم",2,1,5,5,4,5,5
"همه چيز تمومه اين دوربين",,"این دوربین اصلا برای این نیست که شما بخوای عکس بگیری باهاش بذاری اینستا یا اصلا با 7D قابل مقایسه نیست
این دوربین مال کسیه که تمام زندگی و حرفش عکاسیه
کسیه که میگه سنگینه یا بزرگه اصلا کارایی این دوربین رو نمیدونه",49,1,5,5,5,5,5
,,"صحنه هایی از فیلم MAD MAX : FURY ROAD با این دوربین گرفته شده ... دیگه نیازی به توضیح اضافه نیست .",26,0,5,5,3,5,4
"همه چي تموم",,"این دوربین و NIKON D5 پرچمداری دو کمپانی هستن و هر دو کیفیت فوق العاده دارن.",5,8,5,5,4,5,3
,,"این مقدار پولی که میدین بهتره یه دوربین 7D بگیرید خیلی بهتره اما این به نظرم فرقی نداره با دوربینای دیگه ،فرقش فقط گرون بودنه",1,69,4,3,1,4,2
,"بزرگ بودن بدنه براي همکاران خانم","مناسب برای عکاسی صنعتی",6,38,4,5,3,5,1
,,"فوق العادست...بهتر از این چی میشه",25,54,5,5,5,5,5
"عکاسي 16 فريم","نياز به cf براي عکاسي 16 فريم :)","سلام،اگر دیجی کالا محصولاتی مثل lexar professional 256GB 540mb\s یا محصولاتی در این رنج را موجود کند این دوربین از ارزش بلفعل بالاتری برخوردار خواهد شد. با سپاس.",23,30,4,5,5,5,3
,,"واقعا هم برای عکاسی کاربردهای زیادی داره و هم برای فیلمبرداری
اینطوری که من برداشتم کردم با توجه به 4k بودنش کانن این دوربین رو برای فیلمبرداری ساخته تا برای عکاسی، انشالله که قیمت قابل قبولی داشته باشه تا اونای که عاشق عکاسی و فیلمبرداری هستن بتونن تهیه کنن. من یادم نمیاد با دوربین غیر از عکاسی فیلمبرداری کرده باشم، دوستان که می پرسن کیفیت فیلم دوربین های که استفاده می کنی چطورن؟! منم گفتم نمی دونم چون من بیشتر دوربین رو برای عکاسی تهیه می کنم تا برای فیلمبرداری.
ولی عاشق دوربین هایی هستم که توانایی فیلمبرداری 4k دارن، بیشتر برای فیلمسازان تا خودم، چون دیگه وقتش شده فیلمهای 4k ببینیم تا hd معمولی.",34,46,4,5,5,5,4
