positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"بنده این دوربین خریداری کردم ولی با توجه با داشتن حسگر 16 مگاپیکسل اصلا عکسها کیفیتشون خوب نبود و اصلا ازش راضی نیستم",0,0,2,3,2,3,2
,,"حرف نداره
شک نکن",5,0,3,3,3,3,3
