id,bestEntropyAspectId,text,like,dislike,1-rate,2-rate,3-rate,4-rate,5-rate,6-rate,1-entropy,2-entropy,3-entropy,4-entropy,5-entropy,6-entropy
44,6,"گول برند سامسونگ نخورید",13,4,5,4,5,4,5,4,-1.5261297155975,-1.4066975838652,-1.470869171253,-1.4281824327549,-1.4174800314626,-1.5750239470318
46,6,"گوشی Huawei lite 30000 صفحهش استاندارده خیلییییی خوش دسته گوشی lite ارزون اینه توصیه میکنم Huawei lite بخرید",3,3,4,5,3,3,3,4,-1.2913160109727,-1.2542673492983,-1.3292735125487,-1.245383360744,-1.2973766457856,-1.4168183839492
48,6,"العاده نزدیک یکو نیم سال گوشی باورتون نشه",6,1,5,5,5,5,5,5,-1.3712369223669,-1.2176696297155,-1.3122414551715,-1.2835960582691,-1.2754609158778,-1.456089291238
49,6,"داغ نکرده بازی گرافیکی حجم سربلند اومده دور بینش عالیه کلمه حرف نداره",6,1,5,5,5,5,5,5,-1.3478689525662,-1.2392392618553,-1.3354972577096,-1.285181836575,-1.1841023950629,-1.4045032476781
51,6,"دوربین عالی محیط بسته اگه فوکوس دستی بشه لرزش دست نباشه بالای یازده مگابایت حجم عکس",5,2,4,3,3,3,3,3,-1.3237096622448,-1.2836230275692,-1.324065233994,-1.2866638980156,-1.2772106323513,-1.4560347816589
52,6,"جالب اینه محیط حجم بالای بیست مگابایت عکس قدرت بالای دوربینه",5,2,4,3,3,3,3,3,-1.4515547845794,-1.2984003950909,-1.3819344939743,-1.3531422271627,-1.3382449717428,-1.4903032312035
53,6,"جرات میتونم بگم دوربین بیست مگاپیکسل سونی قویتره",5,2,4,3,3,3,3,3,-1.4677162637729,-1.2801242257183,-1.3876532802004,-1.3190140953794,-1.3244418512493,-1.490546080257
54,6,"دیگه گوشی داغ نمیکنه دماش چهل نمیره گوشی سونی دقیقه هفتاد درجه میرسه",5,2,4,3,3,3,3,3,-1.3588353908441,-1.2368657303594,-1.3853683494936,-1.2999796311598,-1.2807743730477,-1.4408794517877
55,6,"کسایی دنبال دوربین عالی هستن کار زیاد گوشی دنبال بازی هستن حرف نداره",5,2,4,3,3,3,3,3,-1.3941887973155,-1.2921680356751,-1.3496611371132,-1.2921988552997,-1.3121162787343,-1.4653907771145
56,6,"گوشی فوقالعاده خوبه نسبت قیمتش",6,0,5,5,5,5,5,5,-1.3742911971376,-1.2921540149665,-1.3308532572587,-1.297369301666,-1.3171045671005,-1.4520414946069
58,6,"گوشی مدل سیمکارتش یکسال ماه خریدم",3,1,5,4,3,4,4,4,-1.4072970806351,-1.3549622155578,-1.3988424672709,-1.3502598006854,-1.3357062380764,-1.5020953619123
59,6,"ازش راضی",3,1,5,4,3,4,4,4,-1.3590590658913,-1.2986397873662,-1.3386383858451,-1.2878165143089,-1.2703637193733,-1.4516843189781
60,6,"چیش خوبه",3,1,5,4,3,4,4,4,-1.3692681763942,-1.2868651233669,-1.3185332927676,-1.2830571203952,-1.2458747764518,-1.4055801587406
61,6,"اپدیت اندروید",3,1,5,4,3,4,4,4,-1.448884964501,-1.2619346579716,-1.3585919120596,-1.3209900131213,-1.2813342088734,-1.4726269884733
68,6,"سال مدل سیم گوشیو بارم هنگ نکرده",6,0,5,5,5,5,5,5,-1.4790480749944,-1.3736468752235,-1.4169092097352,-1.386905803932,-1.3454052044878,-1.502426025736
69,6,"سرعتش عالیه اپدیت اندروید",6,0,5,5,5,5,5,5,-1.3623783896875,-1.2202927220739,-1.3009593953397,-1.2673598322871,-1.2525276433971,-1.4292536843477
73,6,"برد وای فای گوشی کمه",2,9,3,3,3,3,3,3,-1.4574655472966,-1.3425627952791,-1.4274530563775,-1.3438049116051,-1.3180936018267,-1.4944975793478
74,6,"نسبت گوشیهای دیگه وای فای اون ضعیفتره",2,9,3,3,3,3,3,3,-1.4605044969927,-1.3508475125766,-1.4289044350019,-1.3706385007213,-1.3700053538501,-1.4693478803929
75,6,"عملکردش راضیم بجز وای فای",2,9,3,3,3,3,3,3,-1.3895603731623,-1.2867581609121,-1.3951252034923,-1.3277205465887,-1.2667443681405,-1.4652952543675
77,6,"سلام ماهه گوشیو نسبت قیمتش عالیه حرف نداره بدنه فلزی دوربین عالی باتری فوق‌العاده",5,0,5,5,4,4,3,3,-1.3733229746208,-1.2690601414569,-1.3192043218154,-1.2859009003963,-1.2771245020221,-1.424518095906
79,6,"تشکر دیجی کالا گوش حدود ماه نکات خوبش بگم",7,0,5,5,5,5,3,5,-1.4024516354733,-1.3142598678388,-1.3514684273971,-1.3178155801312,-1.2889295348138,-1.4642905017578
80,6,"دوربینش عالیه تاچ روونی داره",7,0,5,5,5,5,3,5,-1.3921566544962,-1.2840977784133,-1.3513573086524,-1.3083057886723,-1.3135953177142,-1.4662052439798
82,6,"نسبت گوشیهای قیمت شارژدهی قبولی داره",7,0,5,5,5,5,3,5,-1.4416404180957,-1.3721695726918,-1.4013369159205,-1.3462388894463,-1.3760433622113,-1.4982572186519
86,6,"داغ کنه سرعت تاچش بالاست گلس روش گذاشتم تاثیری لمسش",7,0,5,5,5,5,3,5,-1.4165999337689,-1.3180294894181,-1.3757499442503,-1.3402917214019,-1.3138924953023,-1.4468161321259
87,6,"نکات منفی توی ذوق میزنه",7,0,5,5,5,5,3,5,-1.4690873835268,-1.3467111865026,-1.3889078213216,-1.3644182620922,-1.3769392953977,-1.5326879662901
89,6,"سیم کارت بذاری مموری اگه بخوای سیم کارت قید مموری بزنی",7,0,5,5,5,5,3,5,-1.4903078811724,-1.3857664722274,-1.4417997809647,-1.3791276186908,-1.3801410228698,-1.5053456868986
90,6,"ایراد دیگه اینه آپدیت مدل گوشی ارائه ببخشید طولانی میخواستم نطرم صادقانه بگم دوستان تصمیم بگیرن",7,0,5,5,5,5,3,5,-1.4377358200918,-1.299617896023,-1.3651813140007,-1.3248331661049,-1.289424881931,-1.4939805247378
