positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کيفيت ساخت","سرعت خواندن و نوشتن","کيفيت بسته بندي"
"سرعت بالا
مقاوم در برابر آب وضربه
ضمانت ماداما عمر","قيمت بالا","من این کارت یه ماه پیش با قیمت پایین تر ی از بازار خریدم،عالی ه",1,0,3,5,5,5
ندارد,"روي دوربين کار نکرد","سلام من اینو برای دوستم خریدم بهش که دادم روی دوربینش کار نکرد بعد روی دوربین خودم هم کار نکرد دوربین من d7200 و دوربین دوستم d7100 بود رو کامپیوتر کار داد اما روی دوربینا کار نداد",0,0,3,3,3,3
