positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي پخش صدا","امکانات و قابليت ها",ارگونومي,"کيفيت ساخت","ارزش خريد در برابر قيمت"
,,"خیلی گرونه",20,1,5,2,3,2,0
,,"من این هدفونو استفاده کردم و میتونم بگم که کمی از بیتس ضعیف تره ولی در کل چه از نظر کیفیت صدا چه از نظر جنس بدنه فوق العادس
نکته جالبش اینجاس که این هدفون به سفارش کریستیانو رونالدو یا همون CR7 توسط برند مانستر ساخته شده و در کل میتونم بگم که مثل بیتس هدفون فوق العاده ای هستش",17,33,4,3,5,5,4
