positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","نصب و کاربري آسان"
,,"کاملا از خرید خودم راضیم و کارایش هم عالیه",1,0,5,5,4,4,5
"نصب اسان امکانات کامل","امکانات ضبط ضيعف است","من دوربین را خریدم از خرید خود کامل راضی هستم از پشتبانی ایران فوسکم تشکر می کنم",2,4,5,4,4,4,5
