positivePoints,negativePoints,commentText,like,dislike,"تنوع درگاه‌ها","نسبت قيمت به کارايي","کيفيت ساخت","سازگاري با قطعات","امکانات اورکلاک","امکانات جانبي"
"هر چي",هيچي,"خدارو شکر بلاخره موجود شد ولی زود من پس فردا سفارش میدم
خوراک گیمر هایی که بودجه کمی دارن
درصد اورکلاک مانند بالارده های Z170 ایسوس
کلا بگم زیر 900 بهترین مادربرد با i3 7100 ببندین
cpu i3 7100
Gpu Gigabyte 1050 ti G1
8 gb ddr5
با این کانفیگ عالیه",0,0,5,3,5,5,5,5
"قيمت عالي",,"به اضافه امکانات بالا قیمت پایین و کیفیت بالا نظر ما رو معطوف خودش کرده",11,3,5,5,5,5,5,5
