positivePoints,negativePoints,commentText,like,dislike,"امکان نصب قطعات","کيفيت ساخت","امکانات اورکلاک","زيبايي ظاهري","سيستم خنک‌کننده"
,,"سلام. من این کیس رو حدود یک ماه است که استفاده میکنم. برای خنک کننده های مایع خوب است، خنک است، طیف زیادی از سخت افزار رو ساپورت میکنه ولی دکمه ریسیت ان بسیار کوچک و فرو رفته است که تقریبا با انگشت امکان استفاده نداره و با توجه به محل قرار گرفتن پاور سیستم حتما به تعداد و قطر کابلهای پاور قبل از خرید دقت کنید در غیر این صورت بسیار بهم ریخته میشه. در کل با توجه به قیمت ارزش خرید بالایی دارد",0,0,4,3,2,2,3
"کيفيت بسيار مناسب
نور پردازي بسيار زيباي فن ها و بي صدا بودن
اندازه مناسب و عمق کافي براي قطعات حرفه اي
طراحي زيبا","دکمه ريستارت","با عرض سلام و خسته نباشید.
بنده خرید این کیس رو پیشنهاد میکنم.بازم ممنونم از دیجی کالا که این کالا رو در بسته بندی خودش بسیار عالی تحویل بنده دادن.
کیس شیک و جذابی هستش
فن های موجود بر روی کیس کاملا هوای داخل کیس رو مطلوب نگه میدارن.
فقط مشکلی که داره دکمه ریستارت خیییلییی ریز هستش که حتما باید با یک جسم نوک تیز اون دکمه رو زد
در کل عالی",4,1,3,3,3,3,3
,,"من راجع به یه کیس کامل و حرفه ای و گیمینگ خیلی تحقیق کردم و اخر هم اینو سفارش دادم و مرسی از دیجی که تو 5 دقیقه اول بازه زمانی تحویل آوردش.
کیس خیلی خوبیه همونطور که میدونید کیفیت فولاد بالایی داره و 5 تا فن هم روش نصبه از اول.
اتصالات خیلی با کیفیتی داره و بسیار زیباس،امکان نصب 3 تا واترکولینگ همزمان رو داره که عالیه،و در اخر باید گفت که یکم سنگینه و حدود 7 کیلوگرم وزن داره
موفق و پیروز باشین",4,1,5,5,5,5,5
