positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","کارآيي و عملکرد","ارزش خريد در برابر قيمت","طراحي و ظاهر","سرعت انتقال اطلاعات"
"وزن کم مقاومت بالاي بدنه ضد اب و ضد ضربه",,"حدود یک ساله که این فلشو دارم و راضیم ازش، حتما تهیه کنید",2,0,5,5,5,5,5
,,"فوق‌العاده عالی، .",2,0,5,5,4,5,5
