positivePoints,negativePoints,commentText,like,dislike,"قدرت گرافيکي","مقدار حافظه","ارزش خريد به نسبت کارايي","تنوع پورت گرافيکي","سيستم خنک‌کننده"
"همه چي",هيچي,"واقعا عالیه بتلفیلد 1 رو روی 4K با فریم 80 اجرا میکنه",2,4,5,5,5,5,5
"قدرت بسيار بالا فرکانس بالا حافظه رم خوب محدوده قيمتي مناسب",هيچي,"با سلام این کارت گرافیک بسیار عالیه و حتی اگه بخواهید برای بازی های روز با کیفیت 4k اجرا کنید راحت با پردازنده i3 6320 روی فرم 70 اجرا میکنه",3,1,5,5,5,5,5
