positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","کارآيي و عملکرد","ارزش خريد در برابر قيمت","طراحي و ظاهر","سرعت انتقال اطلاعات"
,,"نسبت به حجمش خیلی قیمتش بالاس تازهUSB3 هم نیست",2,1,5,5,0,5,2
,,"سلام
من این محصولو امروز خریدم البته قبلا تعریفشو شنیده بودم و ظاهر بسیار زیبایی داره بنظر من برای هدیه دادن بسیار مناسبه",3,1,5,4,5,5,4
