positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","کارايي و ابعاد","راحتي نصب و استفاده","ارزش خريد نسبت به قيمت"
,,"واقعا عاااالیه
گرونتر از اینم گرفتم ولی اصلا خوب نبوده و قطعی داشته
ولی این کیفیتش فوق العادس
طراحیشم عالیه چونکه احتمال آسیب به گوشی و فلش و به حداقل میرسونه
اصلا لَق نمیزنه
حتما بگیرید تا موجوده",3,0,5,5,5,5
"کانکتورهاي قوي
کانکتور کج
بدنه قوي",,"سلام عالیه کانکوتر طرف میکرو خیلی قویه مثل کانکتورهای کابل خوب موقع فشار دادن صدا اتصالش میاد صداش مشخص میکنه قوی وصل شده",2,0,5,5,5,5
"شيک
سريع
خوش دست
موقع گذاشتن در گوشي گير نميکنه براحتي تو ميره و در مياد","تا الان نديدم","تو خریدش شک نکنید تا الان چند تا از شهرمون گرفتم بعد دو روز خراب میشد.
اما این عالیه",3,0,5,5,5,5
