positivePoints,negativePoints,commentText,like,dislike,"امکان نصب قطعات","کيفيت ساخت","امکانات اورکلاک","زيبايي ظاهري","سيستم خنک‌کننده"
"بسيار زيبا
حرفه اي
سيستم خنک کننده خوب","من نديدم","از نظر خودم واقعا عالیه تو خریدش نباید زیاد شک کرد",2,0,4,4,4,5,5
"سه تا فن خوب ظاهر شيک و حرفه اي ابعاد مناسب امکانات خوب","صداي فن ها","با توجه به قیمتش بسیار مناسب و به روز .",3,0,3,3,3,3,3
,,"در موردش تحقیق کردم خیلی هم خوبه من تازه سفارششو دادم",1,0,4,4,4,5,4
"قيمت مناسب
قابليت سوار کردن انواع مادربرد در سايز ATX و Micro ATX
سيستم خنک کننده بي نظير
سيستم کابل کشي بسيار منظم
طراحي بسيار زيبا و حرفه اي","عدم توانايي در نصب واترکولر هاي 240 ميليمتر","در یک کلام بی نظیر و حرفه ای برای حرفه ای ها",5,2,5,5,5,5,3
"طراحي نسبتا زيبا","کمبود درگاه 2.5 و 3.5 اينچي","ورژن جدیدش تغییرات کمی داره و فقط جای هارداش کمی تغییر کرده",0,1,2,5,2,5,5
,,"ورژن قبلی این رو ندیدم ولی تو این قیمت خیلی زیباست و من عاشقش شدم",1,1,3,3,3,3,3
,,"من این کیسو 6 ماهی هست دارم خیلی کیفیت داره سه تا فن هم داره برا خنک کنندگی که همشون هم فیلتر دارن
از لحاظ زیبایی هم حرف نداره",2,1,5,5,4,5,5
,,"این با ورژن قبلیش چه فرقی الان میکنه",6,4,3,3,3,3,3
