positivePoints,negativePoints,commentText,like,dislike,"دقت و عملکرد","طراحي و کيفيت ساخت","امکانات و قابليت‌ها","ارزش خريد در برابر قيمت","خوش دست بودن"
,,خـوشـگـلـه,0,0,3,3,3,3,3
"خوش دست
کليک روان و راحت",ندارد,"به نسبت قیمت خیلی خیلی خوبه
من ماوس گرین و فراسو داشتم ، جفتشون توی یه ماه تعطیل شدن اما این خوبه خدایی",0,0,5,4,2,5,5
