positivePoints,negativePoints,commentText,like,dislike,"تنوع درگاه‌ها","نسبت قيمت به کارايي","کيفيت ساخت","سازگاري با قطعات","امکانات اورکلاک","امکانات جانبي"
"استاندارد رم بالا چهار اسالت براي رم سه اسالت براي گرافيک مخصوص بازي و...",هيچي,"این مادربرد فوق العاده ، برای گیم مناسب است.",0,0,5,3,5,5,5,5
"مناسب براي سرور","نداشتن پورت m.2
نداشتن پورت usb 3.1","این مادربورد برای گیم مناسب نیست.",0,0,1,3,5,4,2,1
