positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت",ماندگاري,"سرعت خواندن و نوشتن","ارزش خريد در برابر قيمت"
سريع,,"سریع قوی و حافظه زیاد برای کار های شخصی مناسبه",0,1,4,3,3,5
,,"دی وی دی خوبیه اما اگه میشه دی وی دی ناین9 هم بیارید",19,2,3,3,3,3
