positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","کارآيي و عملکرد","ارزش خريد در برابر قيمت","طراحي و ظاهر","سرعت انتقال اطلاعات"
"زيبايي
بدنه مقاوم","سرعت بسيار پايين","سرعت نوشتن این فلش 8 مگابایت و سرعت خواندن اطلاعات 24 مگابایت.
دوستان این فلش ظاهر زیبا، حجم زیباد، قیمت پایین و بدنه ی مقاومی داره. اما به عنوان یک مصرف کننده که صبر عیوب نداره، باید بگم ای کاش به جای این فلش یک فلش 32 گیگ USB 3 در میخریدم.",3,0,3,3,4,5,0
,,"بهترین فلش تو این رنج قیمت",3,1,5,5,5,5,5
,,"باید خوب باشه",4,1,5,5,5,5,4
,,"فلش مموری بسیار عالی ودارای مقاومت بالایی است",4,2,3,3,3,3,3
