positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سرعت انتقال اطلاعات","ارزش خريد در برابر قيمت","طراحي و ظاهر","امکانات و قابليت‌ها"
"ظاهر شيک مخصوصا رنگ قرمز
استحکام بالا",هيچي,"هارد شیک و با استحکام بالایی است و به مراتب بهتر از هارد وسترن که 1 ماه نشده صداهای عجیبی می ده. در کل ارزش خرید بالایی داره خیلی بالا",1,1,5,5,5,0,5
"10 گيگ فضاي ابري","بدنه ضعيف","10 گیگ فضای ابری",1,0,3,3,3,3,3
,,"من دو تا هارد یک ترابایت سونی یک و نیم سال پیش از دیجی خریدم فوق العاده است و حالا اومدم این توشیبا را خریدم محشره و قیمت دیجی خیلی عالیه مرسی دیجی جان..",1,0,5,5,5,5,5
