positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کيفيت ساخت","سرعت خواندن و نوشتن","کيفيت بسته بندي"
"سرعت بالا کيفيت ساخت خوب",,"برای نیکون d7100 گرفتمش و کاملا جواب میده و سرعت خیلی خوبی داره برای دوستانی که dslr دارن پیشنهاد میکنم حتماً",0,0,4,5,4,5
"قيمت مناسب و کيفيت خوب",,"با سلام
ممنون از دیجی کالا بابت ارسال این محصول..هم زود ارسال شد و هم با بسته بندی خوب و مناسب بود",0,0,4,4,4,4
