positivePoints,negativePoints,commentText,like,dislike,"تنوع درگاه‌ها","نسبت قيمت به کارايي","کيفيت ساخت","سازگاري با قطعات","امکانات اورکلاک","امکانات جانبي"
,,"با سلام
توجه کنید قابلیت اتصال واقعیت مجازی هم داره
ولی دیجی کالا ذکر نکرده",8,2,2,3,4,3,3,4
,,"در یک کلام عالی",7,1,5,3,5,5,5,5
