positivePoints,negativePoints,commentText,like,dislike,"طراحي ظاهري","کارايي و عملکرد","ارزش خريد در برابر قيمت","امکانات ارتباطي"
,,"نسبت به بقیه PC و laptop های گیمینگ گرافیک پایین تری داره",5,2,5,3,3,3
"پردازنده
رم
Rog
طراحي زيبا","کارت گرافيک نه چندان قوي
ضعف در اجراي بازي هاي روز","اگه برا بازی میخواید زیاد خوب نیس
بازی اساسین کرید سندیکات رو تو حالت 4K فقط 12 فریم میاره",9,5,3,3,3,3
