positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","کارآيي و عملکرد","ارزش خريد در برابر قيمت","طراحي و ظاهر","سرعت انتقال اطلاعات"
"خوش دست . سرعت عالي","چيز خاصي نديدم","عالیه حرفی ندارم واقعا کیفیت محصولات دیجی کالا حرف نداره من که راضیم شگ نکنید . موفق باشی دیجی کالا",1,0,5,4,3,3,3
,,"برای استفاده معمولی خیلی خوبه سرعت انتقالشم بد نیست من 10 گیگ رو تقریبا تو دو سه دقیقه انتقال داد",3,2,4,5,3,5,5
