positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کيفيت ساخت","سرعت خواندن و نوشتن","کيفيت بسته بندي"
"عالي بود",ندارد,"بسیار خوب و جنس عالی بود منتهی روز اول گمش کردم",0,0,5,5,5,4
"سرعت نوشتن دو برابر سرعت قيد شده در مشخصات
سرعت خواندن مطابق مشخصات درج شده",,"با تست تک فایل دو و نیم گیگابایتی:
Write Speed: 23.5 MB/s
Read Speed: 41.5 MB/s",1,0,3,4,4,4
