positivePoints,negativePoints,commentText,like,dislike,"دقت و عملکرد","طراحي و کيفيت ساخت","امکانات و قابليت‌ها","ارزش خريد در برابر قيمت","خوش دست بودن"
"استفاده با دست چپ زيبايي فيزيک موس",,"سلام دوستان....
یکی از دلایل خرید بنده چپ دست بودنم هست که کار با موس های راست دست برام سخت بود
البته زیبایی فیزیک موس هم در انتخابم بی تاثیر نبود...
با تشکر از عوامل فعال وتلاشگر دیجیکالا...
یا علی.....",2,0,5,5,5,5,5
"فوق‌العاده با کيفيت وبا طراحي خوب و کارايي بالا برد نسبتا خوبي هم داره",,"من الان دو ماهه خریدم و خیلی ازش راضیم پیشنهاد میکنم حتما خرید کنید البته من در پیشنهاد ویژه خریدم",0,0,5,5,4,4,5
"خوش دست
زيبا
با کيفيت","من نديدم","نسبت به قیمت فوق العاده است البته من پیشنهاد ویژه خریدم",0,0,3,4,3,4,4
"ارزش خريد بالا در شگفت انگيز
خوش ساخت بودن
خوش دست بودن
مناسب براي کارهاي عادي",,"موس خوبیه و برند قابل اعتماد",0,0,5,3,3,3,3
"ظاهر قابل تحمل","کلا موس ضعيفيه از هر نظر","تو این قیمت موس های خیلی بهتری هستند. واقعا لنوو منو نامید کرد!",0,1,1,3,2,2,4
,,"خیلی خوبه .
خوش دست هم هست دست با استفاده ی طولانی خسته نمیشه
دکمه هاشم تقریبا بیصدا است",0,0,5,5,4,5,5
,,"خیلی موس خوبیه من دیروز از دیجی کالا گرفتم",8,17,5,5,4,5,5
,,"از خریدتون اصلا پشیمون نمیشید
هنوز نشده که از دیجی وسیله ای تهیه کنم و پشیمون باشم
واقعا در همه ابعاد عالیه
بسیار تشکر از دیجی کالا",11,50,5,5,4,3,5
