positivePoints,negativePoints,commentText,like,dislike,"کيفيت پخش صدا","کيفيت ساخت","ارزش خريد در برابر قيمت","امکانات و قابليت‌ها"
"بيس قوي
صداي واضح و پر قدرت
قيمت کاملا مناسب
ريموت کنترل
و...",ندارد,"سلام من این محصول را برای آرایشگاه خریدم چون به محصولات مارشال اعتماد کامل دارم و واقعا هیچ چیز هم کم نداره ممنونم از دیجی کالا",1,0,5,5,5,5
"ساپورت پورت usb و کارت حافظه","کوتاه بودن سيم بلندگو ها","حدود یک هفته از خریدم تو دیجی کالا میگذره
من این اسپیکر ها رو برای مغازه خریدم و کار راه اندازه
نسبت به قیمتش کاراییش خوبه
کیفیتش نرماله
کسایی که انتظار کیفیت صدای خیلی بالا دارن این مدل مناسبشون نیست",1,0,3,3,3,3
