positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کيفيت ساخت","سرعت خواندن و نوشتن","کيفيت بسته بندي"
"سرعت بالا و پايدار","قيمت بالا","من این رو از دی جی کالا با قیمت پایین تری خریداری کردم و کاملا ازش راضی هستم .",1,0,2,4,3,4
کيفيت,"قيمت تقريبا بالايي که دارد .","کیفیت بسیار بالابا قیمت تقریبا بالا",1,0,3,5,5,5
,,"نزدیکای عید هستش کم کم همه دنبال اینجور حافظه های جانبی واسه ثبت عکس و فیلم هستن
این رو حتما یه پیشنهاد ویژه درست و حسابی بزارید، بخریمش
با تشکر",3,0,3,3,3,3
,,"از دوستانی که خریدن بگن سرعتش چنده دقیقا من میخام واسه موبایلم بخرم سرعت مهمه واسم",3,0,3,3,3,3
"کيفيت خوب","قيمت بالا","سلام
من تو پیشنهاد ویژه خریدم و راضیم",1,0,2,5,5,5
