positivePoints,negativePoints,commentText,like,dislike,"تنوع درگاه‌ها","نسبت قيمت به کارايي","کيفيت ساخت","سازگاري با قطعات","امکانات اورکلاک","امکانات جانبي"
"همه چي",هيچي,"این مادر برد در یک کلام ،عالیه.کسی که برای بازی میخواهد کارایی داره و این را با چیز های زیر ببندید که فقط برای بازیه.
Intel Core I3 7350k
ADATA 16 GB RAM
WESTERN DIGITAL BLUE 1TB
GREEN 580-ES POWER SUPPLY
GREEN X2+ VIPER CASE
ASUS DVD DRIVE",4,12,5,5,5,5,5,5
"همه چي","ضعف نداره","از همه نظر عالیه",1,1,5,3,5,5,5,5
