positivePoints,negativePoints,commentText,like,dislike,"کيفيت آموزش","روش آموزش","کامل و جامع بودن مطالب"
,,"تنها نرم افزاری که مطمئنم بعد از کامل دیدن دوره ها توی اون نرم افزار قوی میشین اونم بدلیل تعاملی و قدم به قدم بودن آموزش هاشه",7,0,5,5,4
"تعاملي بودن","سرعت پايين گوينده
کسل کننده بودن","آموزش های اینتراکتیو به خاطر سرعت پایین گوینده خیلی کسل کنندست اگه بتونید دووم بیارید و چرت نزنید میتونه خوب باشه",1,7,3,3,3
"محاوره اي بودن
صداي واضح و گيراي گوينده
داشتن آزمون در انتهاي هر دوره
کامل و جامع بودن مطالب آموزشي
قيمت مناسب","مشاهده نکردم","سلام، با استفاده از 5 محصول آموزشی مختلف شرکت پرند در زمینه گرافیک فقط می تونم به همه دوستان پیشنهاد بدم که در صورت نیاز به یادگیری نرم افزار حتما اول سری به محصولات تولیدی شرکت پرند بزنید و در صورت موجودی از اونها برای یادگیری استفاده کنید چون واقعا شما رو از هر کتاب و کلاسی بی نیاز می کنه.",10,0,5,5,5
