id,price,userRate,recommendationCount,"کیفیت ساخت",نوآوری,"امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر","ارزش خرید به نسبت قیمت"
147100,"579,000",۳.۶,0,3.6,3.5,3.6,3.7,3.7,3.7
147076,"649,000",۳.۷,0,3.7,3.6,3.7,3.9,3.7,4
145805,"725,000",۳.۸,0,3.8,3.7,3.9,3.8,3.7,3.9
145585,"1,299,000",۴,0,4,3.9,4.1,4,4.1,3.9
140371,"250,000",۳.۵,0,3.4,3.2,3.5,3.6,3.4,4
139131,"569,000",۳.۹,0,3.9,3.8,3.9,4,3.9,4.2
139125,"329,000",۳.۷,0,3.6,3.4,3.6,3.6,3.8,4
137968,"739,000",۴,0,3.9,3.8,4,4,4,4
137275,"439,000",۳.۴,0,3.5,3.1,3.3,3.5,3.3,3.5
135951,"1,719,000",۴.۱,0,4.3,3.8,4.1,4.2,4.1,3.8
134691,"650,000",۳.۲,0,3.3,3.1,3.4,3.2,3.1,3.3
134390,"399,000",۳.۴,0,3.4,3.2,3.4,3.5,3.4,3.7
133959,"2,255,000",۳.۸,0,3.8,3.7,3.9,3.7,3.9,3.4
133007,"1,899,000",۳.۷,0,4.1,3.3,3.8,3.9,3.9,3.2
133006,"1,819,000",۳.۶,0,4,3.1,3.7,3.8,3.7,2.9
132968,"59,000",۳.۱,0,3,2.7,2.9,3.3,3.3,3.7
132444,"799,000",۳.۵,0,3.5,3.5,3.5,3.7,3.6,3.4
132433,"639,000",۳.۷,0,3.7,3.7,3.6,3.7,3.8,3.7
132131,"989,000",۳.۸,0,3.9,3.8,3.6,3.8,3.9,3.8
131303,"619,000",۳.۸,0,3.7,3.7,4,3.8,3.7,4.1
130922,"429,000",۳.۵,0,3.5,3.3,3.5,3.6,3.9,3.8
130911,"295,000",۳.۲,0,3,3.1,3.3,3.1,3.5,3.5
130403,"649,000",۳.۷,0,3.6,3.6,3.7,3.7,3.9,3.7
130217,"635,000",۳.۶,0,3.6,3.3,3.6,3.6,3.5,3.8
129378,"835,000",۳.۷,0,3.7,3.6,3.6,3.7,4,3.5
129350,"1,229,000",۳.۷,0,3.9,3.6,3.8,3.8,3.7,3.4
224623,,,0,,,,,,
223081,"675,000",۳.۷,0,3.8,3.6,3.8,3.7,3.5,3.5
223027,"639,000",۳.۸,0,3.8,3.7,3.8,3.8,3.7,4
222634,"759,000",۴,0,4.1,3.8,4.1,4,4.3,3.9
220038,"979,000",۴,0,4.1,3.7,4,4,4.2,3.8
218673,"1,099,000",۳.۴,0,3.6,3.3,3.3,3.4,3.4,3.5
218659,"1,999,000",۴.۱,0,4.4,3.8,4.1,4.3,4.3,3.8
215752,"335,000",۳.۱,0,3,3.1,3,3.1,3.2,3.5
215701,,,0,,,,,,
215561,"345,000",۳.۹,0,4.1,3.9,3.8,3.7,4.2,4
214989,,,0,,,,,,
214094,"425,000",۳.۷,0,3.6,3.4,3.8,3.8,3.8,3.6
212126,"1,459,000",۲.۶,0,2.9,2.3,2.4,2.7,2.8,2.1
212035,"1,215,000",۴,0,4.2,3.6,3.9,4.1,4.2,3.6
211930,"800,000",۴.۲,0,4.3,3.8,4.2,4.3,4.3,4.2
211636,"560,000",۳.۳,0,3.2,3.3,3.3,3.7,3.5,2.3
211595,"410,000",۳.۴,0,3,3,3.3,3.7,4,3.7
209707,"179,000",۳.۴,0,3.4,3.2,3.2,3.4,3.5,3.6
208798,"145,000",۳,0,3.1,2.7,2.7,3.3,3.4,2.7
208239,"2,669,000",۳.۸,0,3.9,3.7,3.9,3.9,4,3.3
204355,"695,000",۳.۶,0,3.6,3.4,3.6,3.7,3.6,3.5
201571,,,0,,,,,,
201434,"79,000",۳.۲,0,3.2,2.8,3.2,3.5,3.3,3.6
201175,,,0,,,,,,
200760,"249,000",,0,,,,,,
200745,"155,000",۲.۸,0,3.5,2.5,2,3,3.5,2.5
200246,"1,929,000",۴.۱,0,4.6,3.9,4.2,4.2,4.2,3.3
200194,"1,135,000",۳.۶,0,3.8,3.3,3.6,3.7,3.5,3.2
200169,"1,539,000",۳.۸,0,4,3.7,3.9,3.9,3.7,3.5
200132,"1,725,000",۳.۵,0,3.7,3.3,3.5,3.6,3.4,3
199941,"349,000",۴.۱,0,3.8,3.8,4,4.2,4.4,4.2
199568,"179,000",۳.۳,0,3.1,3.3,3.3,3.7,3.4,3.4
199558,"239,000",,0,,,,,,
