positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"نمیدونم چرا دوستان اصرار دارن بگن طراحی ظاهریش بچگانست.دوست عزیز این لپ تاپ ها همونطور که از اسمش مشخصه سری گیمینگه.یعنی مخصوص بازی و برای یک بازیخور هیچی لذت بخش تر از این نیست که تو هر زاویه ای بتونه نشونی از بازی های مورد علاقشو ببینه.از پسترای تو اتاقش تا وال پیپر کامپیوترش.این بازی هم یکی از بزرگان سبکشه از یک کمپانیه خیلی خیلی حرفه ای به اسم بلیزارد.حالا اگه بگین کلا بازی کامپیوتری بچه گانست و این حرفا کلا باید دور این سری رو خط بکشید و برید سراغ سری های پرستیژ و کلاسیک که برای مهندسین عزیز طراحی شده.به نظرم بهتره هر چیزی رو در جایاه خودش نقد کنیم.",12,2,4,3,4,4,4,3
,"کارت گرافيک ضعيف
کم بودن هارد خشک ان
ضيف بودن باطري","ار کارت گرافیک بسیار ضعیفgtx 970 استفاده کرده که 3 گیگ رم داره اگر از 980 استفاده می شد خیلی عالی میشد..باطری خیلی ضعیفی دارهنمیدونم بر چه اساسی طراحیش کردن.........و نمیدونم چرا اینقدر کم هارد خشک گذاشتن
128 گیگ خیلی کمه حداقل باید 256 میگذاشتن...........بیشتر فکر کنم یک کانفیگ تستی برای کامپیوتر رده بالای خودش بوده",6,20,3,3,4,3,3,2
"طراحي عالي براي گيمر هاي حرفه اي",,"با سلام اون اقایی که گفته طراحیش بچه گانس باید عرض کنم این لب تاب مخصوص گیمیر هایblizzard هستش نه گیمر های دیگه کسایی که این شخصیت ها رو میشناسن
شما شناختی که ندارین نمیتونین بگید بچه گانس البته گیمری رو نمیشناسم که اسم blizzard بازی هاشو نشنیده باشه که گل سرسبدشون hots هست که شاهکار عالی blizzard هست
با تشکر",5,4,5,5,5,5,5,5
"سيستم نسبتا بالا","نبايد طرح ميزدن","دوستان شاید طرحش بد باشه اما بازیهای شرکت بیلزاردو مسخره نکنین کی هست که وارکرفتو بازی کنه بگه مسخره بوده",10,4,3,3,3,3,3,3
"هيچ نقطه ضعفي نداره",هيچي,"سلام بنده این لپتاب رو تهیه کردم اما طرح سادش رو . در مورد این طرح خیلی سوال از این و اون پرسیدم و گفتن این طرح از یک گیم بسیار پرطرفدار الهام گرفته شده که توی ایران طرفداران زیادی نداره. بنده طرح سادش رو تهیه کردم و الان هم دادم همون گیم رو بازی میکنم عالیه پیشنهاد میکنم این لپتاپ رو تهیه کنید .چیزی که خیلی خوشم اومد نور پس زمینش هستش که میتونید به هر شکلی که دوس دارید تغییرش بدید . برای کارای نرم افزاری به خصوص کد نویسی خیلی راحت میشه باهاش کار کرد. همچنین میتونید قدرت نرم افزاریش رو برای هر برنامه ای جداگانه تنظیم کنید. من خریدممم راضی ام پشنهاد میکنم تهیه کنید.",11,2,5,5,3,3,4,0
,,"مرد مومن درسته به نظرت طرح اون خیلی بچه گونه هستش ولی یکی از بازی های انلاین پر طرفدار هست.
ولی تو ایران این بازی طرف دار خاصی نداره برا همین فکر میکنی طرحش مزخرف هستش.البته منم دوست ندارم طرحشو ولی دلیل نمیشه به طرحش بگم که مرخرفه.",11,4,3,4,4,4,4,3
"6GB گرافيک","تصوير روي لپ تاپ","گرافیک 6 gb خوبه نسبت به قیمتش",3,11,4,4,3,5,4,2
"بي نظير","طراحي بچگانه و زشت","سلام
این لپ تاب در حد لپ تاب ام اس آی مدل GE62 6QF Apache Pro هست .
اما با طراحی بچگانه و مزخرفش فک نمیکنم طرفدار زیادی داشته باشه و بیشتر برای بچه ها مناسبه .
اگه بتونن این طرح بچگانه رو حذفش کنن و با یه طرح بسیار ساده که به درد سنین بالا بخوره تولیدش کنن فک میکنم عالی بشه .
درسته مخصوص گیم هستش اما با این نوع طراحی کسی جذبش نمیشه .
نظر بنده اصل لپ تاپ گیم سیستم سخت افزاریش هست تا بتونه بازی هایی با رم و گرافیک بالا رو به سادگی اجرا کنه نه نوع طراحی و زیباییش.
به نظر من لپ تاپ ام اس آی مدل GE62 6QF Apache Pro رو تهیه کنید بسیار بهتر از این لپ تاپه و قیمت کمتری رو هم متقبل میشید
GE62 6QF Apache Pro HOS Laser Print - A این لپتاپ دقیقا مثل لپ تاپ GE62 6QF Apache Pro هست و باید بگم خودشه حتی میتونید مقایسه کنید.",14,25,5,5,3,3,4,0
[],[],"لطفا همینو بدون این طرح موجود کنید",12,3,5,5,5,4,5,4
[],[],"دوستان همین مدل با همین کانفیگ بدون این طرح لیزری تو دیجی کالا هست ولی مدتیه ناموجوده. MSI GE62 6QF _ B",10,4,5,4,5,5,5,5
"نسل skylake پردازنده
هارد هيبريدي با 128 گيگ ssd
Gtx 970m ddr5
رم 16 گيگابايتي ddr4 با باس 2133
وزن بسيار کم با وجود گيمينگ بودن","طراحي کارتوني و بچگانه روي جلد","سلام و خسته نباشید
از دیجیکالا درخواست دارم همین کانفیگ رو بدون این طرح زشت موجود کنه ،مدل بدون طرح لیزر در همه جا موجود هست ( با همین کانفیگ، یه نگاهی به لیست لپ تاپ های نمایندگی msi در ایران بندازید ) نمیدونم چرا دیجیکالا نمیارتش! اینم خدمت دوستان بگم که در خریدش شک نکنید ( البته اگه با این طرح روی جلدش میتونید کنار بیاید که اکثر دوستان این طرح رو بچگانه میدونن ) تنها رقیب این لپ تاپ asus g752 vt هست که حالا حالاها نمیاد و قیمتش هم احتمالا یک میلیونی بیشتر از این هست
پس بهترین نسبت به قیمت و امکاناتش هست
در مورد بازی هم بگم که مهم ترین نقش رو کارت گرافیک داره که gtx 970 از 960 و 965 خیلی خیلی بهتر عمل میکنه و با جرئت میتونم بگم که در رزولوشن فول Hd مشکلی در اجرای اکثر بازی ها با بالاترین تنظیمات گرافیکی نخواهید داشت",5,11,5,4,5,4,5,5
[],[],"این لپ تاپ نسبت به امکاناتش قیمت مناسبی داره و به هیچ وجه نا امیدتون نمیکنه تو اجرای بازی و کارای رندرینگ و چیزای دیگه. تنها عیبی که توش میبینم این طرح روشه،این چیه آخه!! دیجی کالا لطفا همین مدل بدون این طرح کارتونکی رو بیار میدونم خیلیا همین نظر رو دارن.ممنون از دیجی کالا",10,2,5,4,5,5,5,5
