positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"ويندوز 10 اورجينال
اندازه کوچک
صفحه نمايش","پردازنده پايين نسبت به قيمت
پردازنده سري u
نداشتن کارت گرافيک مجزا
پايين بودن ظرفيت حافظه ذخيره سازي
نوع رم ddr3","این قیمت برای این لپ تاپ مناسب نیست.... با این پول میشه توی لپ تاپ های ایسوز مورد بهتری پیدا کرد..خیلی بهتر...خیلی خیلی بهتر در ضمن برای لپ تاپ هایی که ویندوز پشتیبانی میکنند برند مهم نیست...مهم کانفیگه...",5,6,1,2,3,3,2,4
"فقط اسمش","با توجه به قيمت بالا و کانفيگ پايين اين برند کاملا بي ارزشه","خرید لپ تاپی با این قیمت و امکانات به هیچ وجه به صرفه و عاقلانه نیست
سونی هم فکر کرده با بالابردن قیمت میتونه خودشو به اپل برسونه در صورتی که اپل اولا جدا از این که کلاس داره سیستم عامل بسیار سبکی داره که با سخت افزار ضعیفش بسیار قوی عمل میکنه
ولی سونی چی داره ؟ اومده ویندوزو انداخته رو کانفیگ پایین که مثلا کلاس کاریش بره بالا از نظر من بهترین برند چه از نظر کاربری عادی چه سنگین و چه برای بازی ایسوز حرف اولو از نظر کیفیت و قدرت میزنه
درسته ایسوز یکم قیمتش از بقیه برندها بیشتره ولی کیفیتش ده برابر بیشتره مخصوصا که سه تا شرکت به مدت دو سال گارانتیش میکنن پس بهترین خدماتو داره خرید لپتاپ سونی به هیچ وجه و برای هیچ کسی عاقلانه نیست در مورد لپ تاپ اپل نمیشه اینجوری گفت چون سیستم عاملش باعث میشه با سخت افزار ضعیف هم از لپ تاپ های کانفیگ بالا جلو بزنه ولی بازم خرید لپ تاپ اپل به صرفه نیست چون با اون قیمت اگه ایسوز بگیرین مطمعنا ایسوز اپلو جلو میزنه.",7,12,0,3,2,4,0,4
"داشتن پورت شبکه
سرعت بالا
کيفيت عالي
طراحي زيبا","تاچ پد کوچک","این لپ تاپ با توجه به حجم هارد داخلی و ابعاد و وزن یک دستگاه فوق العاده مطلوب در کلاس مدیرتی میباشد",4,7,4,5,3,5,5,5
"کيفيت ساخت بالا
وزن پايين","پردازنده ضعيف
حافظه محدود","با این قیمت هم میشه لپتاپ بهتری گرفت و هم اولترابوک بهتری. در حال حاضر به دلیل نداشتن نماینده رسمی برندهای وایو و دل توی ایران بسیار ضعیف عمل میکنن",10,2,0,1,4,4,1,5
"خوش دست زيبا عالي","قيمت زياد","خیلی لپ تاب خوبیه . فقط یکم پولش زیاده با این قیمت میشه دو تا لپ تاب تو مایه های این خرید ولی وایو مشتری های خودشو داره دیگه ...",18,5,5,5,5,5,5,5
[],[],"این لپ تاپ از نظر من بهترین لپ تاپ هست",5,23,5,5,5,5,5,5
