positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"قيمت مناسب صفحه کليد بسيار خوب تمام پورت ها پشت دستگاه","صفحه نمايش مات نيست وزن نسبتا بالا","تقریبا 5 ماهه این لپتاپ رو دارم،،البته از دیجی نگرفتم اما قیمت حدودا یکی بود که تفاوت چندانی نداره ،، با ویندوز 10 به خوبی کار میکنه،، ایرادی که داره باتری غیرقابل جداسازی .
ضمنا تمام پورت ها (به حز یک پورت USB) پشت لپتاپه",12,2,3,3,4,2,3,4
,,"در یک کلام عالی",49,6,5,5,5,5,5,5
