positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"باطري قابل جدا شدن و بسيار قوي
وزن سبک
داشتن 4 عدد پورت USB
داشتن خروجي VGA","گرافيک نسبتا ضعيف
DVD رايتر ظريف
نداشتن نور پس زمينه کيبورد","بنظر من داشتن باطری قابل جدا شدن در بین لبتاپهای امروزی یه مزیت بسیار بزرگه .
و مطلب دیگه اینکه بغیر از سه پورت USB 3.0 که در مشخصات فنی بهش اشاره شده یه پورت USB 2.0 هم در سمت راست وجود داره و بسیار مناسب ماوسه .
در کل با این قیمت بسیار عالیه و اگه قرار باشه اشکالاتی رو که بعنوان نقطه ضعف نوشتم نداشته باشه مسلما دیگه در این قیمت مشاهده نمیشه ...",1,0,5,5,5,5,5,4
,,"سلام دوستان خسته نباشید. این لپ تاپ ظاهر جالبی داره اما من یه سوال ازتون دارم اینه که چرا انقدر این لپتاپ محبوبه. مثلا asus v502 ux رقیقا همین قیمتو داره ولی گرافیک خیلی خیلی قوی تری در اختیارتون میذاره. مطمئنم یه دلیلی هست که این لپتاپ محبوبه. اگه یکی بتونه نکات منحصر بفرد این لپتاپو بهمون بگه ممنون میشم",1,0,3,3,3,3,3,3
,,"لپ تاپ خوبیه، البته تو رنج فیمت خودش، باطری عالی، صفحه نمایش عالی، حجم رم بالا اونم از نوع DDR4 , سب پی یو ی 5 هسته ای جدید اینتل که قدرتش واقعا خوبه، در کنار یک ترا بایت هارد، فقط گرافیکش اونقدری که باید قدرتمند نیست که اونم بستگی به نوع استفاده کاربر داره چون باتوجه به رم و سی پی بو یی که این سستم داره همه نرمافزار های گرافیکی مثل فتوشاپ ر به راحتی جواب مبده، در نهایت نکته مثبت و بزرگ این لپ تاپ در کنار باقی مزیت هاش صنعتی بودنه که به کاربر اجازه مبده ساعت های متوالی لپ تاپ رو روشن نگه داره بدون نگرانی از فشار اومدن به دستگاه...",4,1,5,5,5,5,5,5
"رم بالا و ddr4
نسل جديد پردازنده کبي ليک
باتري پر توان 6 سلولي
جنس بدنه مقاوم","صفحه نمايش TFT","ای کاش فرکانس رم رو هم توی مشخصات مینوشتن که دقیقتر بدونیم در موردش
ولی پردازنده اش خوبه و از سری U و کم مصرف هست. و نسل هفتم اینتله
به غیر از کاهای خیلی حرفه ای و گیم و ویرایش فیلم میتونه برای کاربردهای دیگه جوابگو باشه",4,0,5,5,3,2,4,2
,,"طراحیش واقعا زیباس",4,0,3,3,3,3,3,3
