positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"از این بهتر پیدا نمیشه",10,20,5,5,5,5,5,5
"باتري
کيبور چند رنگ البته مثل ام اس اي تمام رنگ بود بهتر ميشد
فن کولر مستر","980m
وزن و ضخامت زياد","980m در برابر گرافیک نسل جدید ضعیف هست 1060 حدودا 20 درصد قویتر از 980m هست 1070 و 1080 بماند در واقعیت مجازی فاصله خیلی بیشتر هم هست
لپتاپ با گرافیک های نسل جدید رو لطفا سریعتر موجود کنید",22,9,3,3,3,3,3,3
