positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"قيمت مناسب
داشتن کيف و موس
ظاهر زيبا
داشتن سي دي درايور","پردازش ضعيف","در کل مناسب و مقرون به صرفه است برای کارهای خانگی و نه سنگین",0,0,5,2,3,4,3,4
,,"برا کار خونگی خوبه",0,0,5,4,3,5,5,5
"طراحي بسيار زيبا
داشتن پورت هاي زياد
کيفيت خوب صفحه نمايشن در اين قيمت","نداشتن حافظه گرافيکي","لپ تاپ خوبیه حدود یه هفتس خریدم راضیم ازش برای اینترنت و فیلم دیدن و کارای روزانه خیلئ خوبه",0,0,4,4,5,5,4,5
"ايسوس بودن","پردازنده ضعيف","سلام. عاشق رنگش شدم، درسته cpu ش پایینه ولی خب من واسه کارای معمولی میخام و حتما میخرمش.....",0,0,3,3,3,3,3,3
"قيمت مناسب",ندارد,"یکی از دستام گرفته و کاملا رضایت داره خودمم باهاش کار کردم به نظرم بهتر از لنوو تو همین قیمت ...
اگه دیجی اینو پیشنهاد ویژه بزاره تو همین چند روز میگیرم",1,0,4,4,5,5,4,4
