positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"صفحه نمايش IPS
کوچکي","سرعت سخت افزار فقط براي وبگردي است
شارژدهي کم","لپ تاپ کوچک و خوبی است در شگفت انگیز ارزش خرید دارد
براحتی قابل حمل است
باتری دستگاه شارژدهی بین 3 الی 4 ساعت دارد
صفحه نمایش آن IPS است و از زوایای مختلف تصاویر به خوبی دیده میشود
اسپیکر هاش خوبه
من با تاچ پدش راحت نیستم
کیبوردش حروف فارسی نداره و عربیه
کیفیت ساخت ان متوسط است",0,0,5,3,3,5,3,3
"وزن کم
صفحه نمايش خوب
شارژر کوچک وسبک","تاچ پد خيلي ضعيف
ساپورت ضعيف در سايت توليد کننده","با توجه به قیمت برای کارهای سبک خوبه، وزن کم و اندازه مناسب که برای جابجایی زیاد خوبه، تاچ پدش خیلی ضعیفه و حتما نیاز به ماوس داره، با اتصال دی وی دی درایو اکسترنال دستگاه خاموش شد، سایت تولید کننده ساپورت ضعیفی داره و عملاهیچ درایوری وجود نداره",1,0,4,3,0,3,2,3
"ارزش بسيار بالاي خريد
کيفيت تصوير و صدا عالي
کيبورد و تاچ بسيار خوب
عملکرد باطري عالي
عملکرد سخت افزاري و کيفيت عاي","حافظه داخلي اگر بيشتر بود بهتر بود...","با سلام خدمت دوستان
بنده این لپ تاپ خریداری کردم و از خریدم بسیار راضی هستم و چون دانشجو هستم برام خیلی کاربرد داره مخصوصا""برنامه آفیس و همچنین حمل ونقل و جابه جایی برام راحته و تمام کارایی یک لپ تاپ خوب داره ....ضمنا"" تا الان ایراد یا ضعفی از این لپ تاپ ندیدم .
از دیجی کالا هم بابت قیمت و ارسال به موقع تشکر میکنم .",3,0,5,5,5,5,4,5
"صفحه نمايش خوب سبک . زيبا . قابليت حمل آسان سرعت خوب نسبت به سخت افزار","تاچ پدش بدرد نميخوره که با موس مشکل حل ميشه","ارزش خرید رو داره . و جوابگوی نیاز شما در کارهای معمولی هست .",2,0,5,3,2,4,3,3
"ويندوز 10 اورجينال
روان بودن نسبت به کم بودن سخت افزار رم و سي پي يو
خيلي سبک
جابه جايي راحت و تو دل برو","موقع روشن شدن پايين ال سي دي يه لکه سفيد هست
تعداد کم يو اس بي usb
تاچ پدش يکم منو اذيت ميکنه","من خیلی خوشم اومد و از دیروز یک سره دارم باهاش ور میرم
اولش شاید یکم خندتون بگیره واسه وزن و قیافش ولی واقعن همه کار میتونین بکننین
من واسه فیلم و سریال نگاه کردن گرفته بودم ولی الان همه کار میکنم مثله کامپیوتر رو میزی یه هاب usb بگیرین واسش کلی فلش و هارد وصل کنید حالشو ببرین خلاصه من قبل خرید 2 دل بودم و فکر میکردم اسباب بازی باشه و همش هنگ کنه ولی من هنگ ندیدم تو 24 ساعت فقط صفحه نمایش خیلی کوچیکه حتی یکم کوچک تر از ورقه A4 امکان داره چشمارو ضعیف کنه انتظار یه لپ 5 میلیونی نباید ازش داشته باشین و هی ایراد بگیرین تو این رنج حتی بدون پیشنهاد ویژه بهترینه اگه نظرم کمکتون کرده لایک کنید و اگه سوالی هم داشتین مطرح کنین من سر میزنم به این پست تا جوابتونو بدم",3,0,5,3,4,3,4,4
"وزن کم
کاربردي","ساخت بدنه","با این قیمت که تو پیشنهاد شگفت انگیز بودش یه تبلت لنوو 7 اینچی میشد خرید به درد خیلی از افراد میخوره خیلی سبکه کار راه بندازه سرعت بالا اومدن سیستمش خیلی خوب بود البته نسبت به قیمتش درسته از حافظه 32 گیگی حدود 20 گیگ خالی هستش اما این لپ تاپ یه سیستم ONE DRIVE داره که میتونه 100 گیگ هم اونجا ذخیره کنه که به نظرم از هارد اکسترنال هم بهتره چون هیچ وقت پاک نمیشه مگر اینکه خودتون پاک کنید عملکرد وای فای خوب بود تاچ پد زیاد جالب نیست در لپ تاپ یکم سفت بازو بسته میشه برا روشن کردمش باید 3 ثانیه دکمه پاور نگه داری که این یکم تو ذوق میزنه در کل خیلی خیلی خوبه مخصوصا برا دانش آموزا ن - برای افرادی که یه لپ تاپ خیلی سبک برای کار روزمره میخوان میرن سر ساختمون یا میخوان باهاش از برنامه حسابداریشون پرینت بگیرن عالیه",1,0,4,3,3,4,4,3
"ظرافت
صفحه نمايش
صدا
قيمت در پيشنهاد شگفت انکيز","شارژ دهي کم","سلام در پیشنهاد شگفت انگیز گرفتم و با این قیمت ارزش خرید دارد برای کار های معمولی عالیه فقط باتری آن 4 ساعت بیشتر نمیره",0,0,4,2,5,5,4,3
,,"من کل کارایی که با کامپیوتر خونگیم انجام میدم فقط وبگردی و تماشای فیلم یا گوش دادان به اهنگ و درنهایت چن ماه یه بار کار با آفیس هستش
بنابراین با توجه به قیمت و امکانات و اندازه و وزن این لپ تاپ، به نظرم گزینه خوبی اومد برای خرید و رنگ نقره ایشو سفارش دادم امیدوارم همونطوری که ازش انتظار دارم وقتی که به دستم برسه راضی کننده باشه و از خریدم لذت ببرم",2,0,5,5,5,5,5,5
"نسبت به قيمت عالي","نسبت به قيمت هيچي","میشه روش حساب باز کرد
نه بده که زود خراب شه
نه انقدر وفا دار که بیشتر از 2 سال مفید کار کنه
با تشکر از خودم بابت نظر و دیجی کالا بابت ارسال",2,1,2,3,2,3,5,1
"همه چيش","نسبت به قيمتش نميشه گفت ضعف داره","امروز به دستم رسید و بر خلاف چیزی که فکر میکردم کیفیت ساخت در حد یک لپ تاب رو داره. زاویه دید صفحه نمایش خوبه و کیفیت تصویر هم خوبه. اسپیکرها بد نیست.تاچ موس خوبه و کلیه مولتی تاچ ها رو داره.ولی موقعی که شارژر وصله خوب کار نمی‌کنه.کیبورد حروف فارسی نداره و عربیه ولی کارایی خوبی داره.از اسلت یو اس بی و کارت ریدر خوشم نیومد.رو ویندوز هم چیزی که مربوط به لب تاپ باشه نصب نیست.شارژر هم موقع شارژ دماش یه کم زیاد می‌ره بالا",1,0,5,4,3,5,4,5
