positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
,"يکم پول بيشتربدي مدل تري جي دارشرو بخريد","یکم پول بیشتر بدید مدل تری جی دارشرو بخرید",2,0,0,3,0,1,1,1
,,"تصویرش خیلی ضعیفه....و فکر میکنم هرچقدرم قیمتش پایین باشه و شما خوشتون نیاد وقتی به تصویرش نگاه میکنید...قیمتش ارزش نداره...به نظر بنده بیشتر برای بچه ها مناسبه....با تشکر از سایت دیجی کالا",1,4,3,3,3,3,3,3
,,"عالییییی تبلت خوبیه",1,1,5,5,4,3,5,5
"قيمت مناسب","عدم پشتيباني از تري جط","باسلام،بسیار تبلت خوب و خوش دست و زیبایی است،امکانات نسبتا مناسبی دارد،تنها نقطه ضعف آن بنظر من عدم پشتبانی از نسل جدید سیمکارت یعنی تری جی و فور جی میباشد که این موضوع در رابطه استفاده از اینترنت موبایلی تاثیرگذار است،در بقیه موارد جز دوربین و قدیمی بودن سیستم عامل بود است،و اصولا باید بدانیم که این یک محصول خارج از رده است که قیمت مناسبش خرید آنرا توجیه میکند.باتشکر",7,0,4,4,1,4,4,1
,"فقط 2g","فقط از 2G ساپورت میکنه .خیلی ناامید کنندست",5,1,3,3,3,3,3,3
"قيمتش خوبولي کاش تو شگفت انگيز ميخريدم
در کل ازش راصي هستم و توضيحات و مشخصات فني ک در سايت موجود هست گوياي همه چيز هست","دوربين با کيفيت پايين
عدم پشتيباني از 3g
تبديل برق برا شارژر نداشت
نسخه اندرويدش خوب نيست اگه شد حتما ارتقاش بود","ازش راضی هستم ممنونم از دیجی کالا
کاش دیجی هزینه پستی رو برای شهرستانیها رایگان بزاره",12,2,4,5,3,4,4,3
"باتري خوب
قابليت بروز رساني به 6
اجراي تمامي بازي ها
کيفيت تصوير خوب","دوربين بي کيفيت
قابليت 4G ندارد","نسبت به قیمتش عالیه ...
بازی ها با قدرت تمام و لگ اجرا میشند حتی آسفالت 8 بدون لگ اجرا میشه
بهتون پیشنهاد میکنم...",4,1,5,5,5,4,4,4
,,"من که خیلی راضیم ،بسیار خوب بوده نسبت به قیمتش",3,1,5,5,3,3,5,3
