positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
"اندازه مناسب براي استفاده هاي کوچکتر از تبلت
دوربين 2تايي پشتي و امکانات جالب
سرعت عملکرد مناسب
کيفيت صداي عالي دالبي
فلش ال اي دي براي دوربين سلفي","هنوز برنخوردم","حدود 5روزی میشه که گرفتم. البته فکر کنم هنوز جا داشته باشه قیمتش پایین تر بیاد من یچیزی میخواستم بین گوشی و تبلت که خیلی تو بازار گشتم. این بهترین گزینه ای بود که پیدا کردم. کارایی خوبی داره و صدای عالی. با 2 دوربینی پشتی میتونید عکس از یک سوژه بگیرید و پشتش رو محو کنید.
هدفون JBL اگر براتون یک گوشی تو این ابعاد مهمه گزینه ی بسیار خوبیه.",16,6,4,5,4,5,5,4
"تقريبا هيچ",,"تا وقتی می مکس هست که تقریبا در همه زمینه ای از این گوشی بهتره چرا باید اینو خرید ؟!
برتریهای می مکس : ضخامت کمتر (دو میلیمتر کمتر ) ، وزن کمتر ، باطری با ظرفیت 800 میلی امپر ساعت بیشتر ، پردازنده بسیار قدرتمند تر ، ارزونتر ، چون راجع به دوربین و گارانتی مطمین نیستم نمیتونم بگم کدوم بهتره اما می مکس 16 مگاپیکسله و این 13 ، گارانتی می مکس دو ساله هست و این یک ساله
تصمیم با خودتون
ممنون ار دیجی کالا",39,28,3,3,3,3,3,3
