positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
,,"من یه سری داشتم . راستش بهم هدیه دادن.من چون خودم تبلت داشتم اینو دادم به خواهر بی چاره ام.دو روز بیشتر دوام نیاورد از دستش افتاد روی فرش همون لحظه ال سی دی اش نابود شد.با اینکه محافظ صفحه داشت و از طرف خود شرکت مارشال توش بود.کیفیت صفحه اش اپایین بود و همچنین صداش . خلاصه اگه بخرید خیلی ضرر می کنید و انگار پولتون رو با دستای خودتون انداختید توی جوب.(جوی)",4,4,0,0,0,0,0,0
"باتريش وصفحه نمايشش","باتري وصفحه نمايشش ضعيف","اصلا نخرید فقط ایسوس ولنوو",3,2,2,1,1,1,1,1
