positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
,,عالی..,1,0,5,5,5,5,5,5
,,"برا من خوب بود ولی بعضی چیزایی که انتظار داشتم بر اساس پول خوشم نیومد",8,5,4,5,4,5,4,3
