positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"لپ تاب خوبیه
و ارزش قیمت بالایی داره.",0,0,5,3,4,3,4,3
"قيمت بسيار عالي
سخت افزار مناسب
طراحي زيبا
پردازنده skylake",,"لپ تاپ خیلی خوبیه",1,5,5,4,2,3,5,5
