positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"قيمت مناسب به نسبت امکانات",,"سلام
من این لپ‌تاپ رو تقریبا یک هفته پیش از دیجی‌کالا خریدم. موقع خرید، سعی داشتم از بین محصولات لنوو، ارزون‌ترین محصول رو با بیشترین امکانات و قابلیت‌های ممکن بخرم که به این محصول رسیدم.
سی‌پی‌یو اینتل corei3 با 3 مگابایت کش، در کنار 4 گیگابایت رم DDR3 و 2 گیگابایت پردازنده‌ی گرافیکی ان‌ویدیا، سخت‌افزار قابل قبولی برای کارهای روزمره تو این لپ‌تاپ محسوب می‌شن. هر چند که ترجیح می‌دادم با حداقل 6 گیگابایت رم عرضه می‌شد. به کمی هزینه‌ی بیشتر می‌ارزید. در تجربه‌ی یک هفته‌ای من با این لپ‌تاپ، چندین بار شده که نیاز به رم بالاتر رو برای انجام کارهای روزمره احساس کردم. ناگفته نماند که از ویندوز 10 64 بیتی هم استفاده می‌کنم.
در کل خرید این محصول رو به کسانی مثل خودم که به دنبال لپ‌تاپی مقرون‌به‌صرفه برای انجام کارهای روزمره می‌گردن، پیشنهاد می‌کنم.
از دیجی‌کالا هم بابت پشتیبانی عالی و تحویل به موقعش سپاس‌گزارم.",1,0,4,3,4,4,4,4
,,"منی که از برج 8 سال 95 دارمش راضیم",1,0,3,4,4,4,4,4
,,"فقط طراحی ظاهریش تعریفی نداره و کیبوردش عربیه",0,1,5,5,5,5,5,0
,,"خیلی خوب و عالی",1,0,4,5,4,5,5,5
"حافظه گرافيک.سي پي يو3","باطري2 سلولي.مهم نيست","همه آپشناش بالاست",2,0,3,3,3,3,3,3
,,"نسبت به قیمتش عالیه",1,0,4,5,4,5,5,5
ندارد,ندارد,"خیلی خوب و خیلی عالی",1,0,3,3,3,3,3,3
عالي,,"عالیه من دارمش",6,5,3,3,3,3,3,3
"گرافيک 2
قيمت مناسب","رم پايين","یه لپتاپ متوسط برای کار های معمولی و بازی های سطح پایین",3,3,4,4,4,4,4,4
رمDDR4,"cpu ضعيف البته نسبت به قيمت","با سلام من این لب تاپ رو یک هفته ای میشه خریدم اولش بگم که بدون ویندوز و باید خودتون نصب کنید دومن که نوع رم به کاربرده شده در اینDDR4نه DDR3 لب تاپ ظاهری شیک دارد و کیبورد جالب است ولی یکم سنگین است و موقع حمل یکم اذیت میشین گرافیک 2 هم که عالی و تقریبا بازی های متوسط رو باز میکنه ببخشید که طولانی شد بعد یک ماه نقد کامل خواهم گذاشت
ممنون.",15,5,5,5,5,5,5,5
