positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"پردازش گر","زاويه ديد تصوير","به همه پیشنهاد میکنم این لپ تاپ رو بخرند . پردازش گرش در حد ci3 هست . می تونید توی بنچمارکهای مختلف مقایسه کنید . اوجوبه ای هست برای خودش . اصلا لپ تاپ های با پردازشگر سلرن نخرید هرگز . در هر صورت من از خریدم راضی هستم . وزن خوبی داره و سرعتشم عالیه. قیمتشم که واقها با این پردازشگر و 13 اینچ بودنش مفته. صفحه نمایش چون ال ای دی هست با تغییر زاویه دید، تغییر کیفیت داره فقط همین اشکالش هست ولی خب لپ تاپ کاربردش تک نفره هست پس این ایراد نیست",4,1,5,5,5,3,5,5
"اندازه
باطري
وزن
سرعت نسبتا خوب","صفحه نمايش با کيفيتي نچندان خوب
بوت قفل براي ويندوز هاي 7 و 8.1","باسلام
کیفیت باطری بسیار خوب است و مدت زیادی شارژ نگه می‌دارد وزن نسبتا کمی هم دارد.",12,3,5,5,5,3,3,5
